AirWayBill;Carrier Prefix;Flight No.;Airport of Departure (code);Final Destination (code);Picked Up (Date);ETD;ETA;Docs released / Delivered (Date)
NGB285310;CV;9732/20;PVG;LHR;2019-03-17 15:00;2019-03-20 02:15:00.0;2019-03-23 10:00:00.0;
ORD714314;LH;8171;JFK;TXL;2019-03-19 17:00;2019-03-20 02:20:00.0;2019-03-21 07:55:00.0;
SIN661224;SQ;612;SIN;ICN;2019-03-19 17:07;2019-03-20 02:30:00.0;2019-03-20 09:50:00.0;
TPE624413;CI;5322/20;TPE;JFK;2019-03-18 13:30;2019-03-20 02:30:00.0;2019-03-20 05:40:00.0;
SIN661179;SQ;612;SIN;ICN;2019-03-19 17:03;2019-03-20 02:30:00.0;2019-03-20 09:50:00.0;
TPE624970;CI;5322/20;TPE;JFK;2019-03-19 15:00;2019-03-20 02:30:00.0;2019-03-20 20:40:00.0;
TPE624999;CI;5322/20;TPE;JFK;2019-03-19 18:00;2019-03-20 02:30:00.0;2019-03-20 05:40:00.0;
IST985560;MS;0964/21;IST;NRT;2019-03-18 18:00;2019-03-20 02:45:00.0;2019-03-22 18:25:00.0;
IST985559;MS;0964/21;IST;NRT;2019-03-18 18:00;2019-03-20 02:45:00.0;2019-03-22 18:25:00.0;
NKG214137;7L;216A/21;PVG;TLV;2019-03-16 10:00;2019-03-20 02:45:00.0;2019-03-21 11:00:00.0;
PVG954085;TK;6348/22;PVG;TLV;2019-03-15 11:12;2019-03-20 03:00:00.0;2019-03-22 15:35:00.0;
PVG081834;KE;245/21;PVG;MAO;2019-03-19 05:00;2019-03-20 03:00:00.0;2019-03-21 00:01:00.0;
PVG081877;M3;8425/22;PVG;MAO;2019-03-19 05:00;2019-03-20 03:00:00.0;2019-03-21 00:01:00.0;
PVG965785;TK;6348/22;PVG;TLV;2019-03-15 17:02;2019-03-20 03:00:00.0;2019-03-22 15:35:00.0;
BRU104647;KL;8120;BRU;GRU;2019-03-18 12:00;2019-03-20 03:00:00.0;2019-03-21 18:00:00.0;
PVG965771;TK;6348/22;PVG;TLV;2019-03-15 17:02;2019-03-20 03:00:00.0;2019-03-22 15:35:00.0;
PVG081884;M3;8425/22;PVG;MAO;2019-03-19 05:00;2019-03-20 03:00:00.0;2019-03-21 00:01:00.0;
PVG965778;TK;6348/22;PVG;TLV;2019-03-15 17:02;2019-03-20 03:00:00.0;2019-03-22 15:35:00.0;
